inputs,prediction,expected_output,score,cost
"Write a python function to find whether the parity of a given number is odd.

def find_Parity(x): ","def find_Parity(x):
    return x % 2 != 0","The solution passed all test cases.
Correct Solution:def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return True
    return False",1.0,0.0
"Write a function to that rotate left bits by d bits a given number. We assume that the number is 32 bit.

def left_rotate(n,d):   ","def left_rotate(n, d):
    d = d % 32
    return (n << d | n >> 32 - d) & 4294967295","The solution passed all test cases.
Correct Solution:def left_rotate(n,d):   
    INT_BITS = 32
    return (n << d)|(n >> (INT_BITS - d))  ",1.0,0.0
"Write a function to find the surface area of a sphere.
import math
def surfacearea_sphere(r):","import math
def surfacearea_sphere(r):
    return 4 * math.pi * r ** 2","The solution passed all test cases.
Correct Solution:import math
def surfacearea_sphere(r):
  surfacearea=4*math.pi*r*r
  return surfacearea",1.0,0.0
"Write a function to find the n'th star number.

def find_star_num(n): ","def find_star_num(n):
    return 6 * n * (n - 1) + 1","The solution passed all test cases.
Correct Solution:def find_star_num(n): 
	return (6 * n * (n - 1) + 1) ",1.0,0.0
"Write a function that takes as input a tuple of numbers (t_1,...,t_{N+1}) and returns a tuple of length N where the i-th element of the tuple is equal to t_i * t_{i+1}.

def multiply_elements(test_tup):","def multiply_elements(test_tup):
    return tuple((test_tup[i] * test_tup[i + 1] for i in range(len(test_tup) - 1)))","The solution passed all test cases.
Correct Solution:def multiply_elements(test_tup):
  res = tuple(i * j for i, j in zip(test_tup, test_tup[1:]))
  return (res) ",1.0,0.0
"Write a function to get the angle of a complex number.
import cmath
def angle_complex(a,b):","import cmath
def angle_complex(a, b):
    complex_num = complex(a, b)
    return cmath.phase(complex_num)","Error: .
 Solution: import cmath
def angle_complex(a, b):
    complex_num = complex(a, b)
    return cmath.phase(complex_num).
 Test: def check():
    assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
    assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
    assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)

Correct Solution:import cmath
def angle_complex(a,b):
  cn=complex(a,b)
  angle=cmath.phase(a+b)
  return angle",0.0,0.0
"Write a python function to find the volume of a triangular prism.

def find_Volume(l,b,h) : ","def find_Volume(l, b, h):
    return 0.5 * l * b * h","The solution passed all test cases.
Correct Solution:def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",1.0,0.0
"Write a function to convert rgb color to hsv color. https://www.geeksforgeeks.org/program-change-rgb-color-model-hsv-color-model/

def rgb_to_hsv(r, g, b):","def rgb_to_hsv(r, g, b):
    (r, g, b) = (r / 255.0, g / 255.0, b / 255.0)
    cmax = max(r, g, b)
    cmin = min(r, g, b)
    delta = cmax - cmin
    if delta == 0:
        h = 0
    elif cmax == r:
        h = 60 * ((g - b) / delta % 6)
    elif cmax == g:
        h = 60 * ((b - r) / delta + 2)
    elif cmax == b:
        h = 60 * ((r - g) / delta + 4)
    if cmax == 0:
        s = 0
    else:
        s = delta / cmax * 100
    v = cmax * 100
    return (h, s, v)","The solution passed all test cases.
Correct Solution:def rgb_to_hsv(r, g, b):
    r, g, b = r/255.0, g/255.0, b/255.0
    mx = max(r, g, b)
    mn = min(r, g, b)
    df = mx-mn
    if mx == mn:
        h = 0
    elif mx == r:
        h = (60 * ((g-b)/df) + 360) % 360
    elif mx == g:
        h = (60 * ((b-r)/df) + 120) % 360
    elif mx == b:
        h = (60 * ((r-g)/df) + 240) % 360
    if mx == 0:
        s = 0
    else:
        s = (df/mx)*100
    v = mx*100
    return h, s, v",1.0,0.0
"Write a python function to interchange the first and last elements in a list.

def swap_List(newList): ","def swap_List(newList):
    if len(newList) > 1:
        (newList[0], newList[-1]) = (newList[-1], newList[0])
    return newList","The solution passed all test cases.
Correct Solution:def swap_List(newList): 
    size = len(newList) 
    temp = newList[0] 
    newList[0] = newList[size - 1] 
    newList[size - 1] = temp  
    return newList ",1.0,0.0
"Write a function to find the median length of a trapezium.

def median_trapezium(base1,base2,height):","def median_trapezium(base1, base2, height):
    median_length = (base1 + base2) / 2
    return median_length","The solution passed all test cases.
Correct Solution:def median_trapezium(base1,base2,height):
 median = 0.5 * (base1+ base2)
 return median",1.0,0.0
"Write a function to check if the given array represents min heap or not. https://www.geeksforgeeks.org/how-to-check-if-a-given-array-represents-a-binary-heap/

def check_min_heap(arr): ","def check_min_heap(arr):
    n = len(arr)
    for i in range((n - 2) // 2 + 1):
        left = 2 * i + 1
        right = 2 * i + 2
        if left < n and arr[i] > arr[left]:
            return False
        if right < n and arr[i] > arr[right]:
            return False
    return True","The solution passed all test cases.
Correct Solution:def check_min_heap_helper(arr, i):
    if 2 * i + 2 > len(arr):
        return True
    left_child = (arr[i] <= arr[2 * i + 1]) and check_min_heap_helper(arr, 2 * i + 1)
    right_child = (2 * i + 2 == len(arr)) or (arr[i] <= arr[2 * i + 2] 
                                      and check_min_heap_helper(arr, 2 * i + 2))
    return left_child and right_child

def check_min_heap(arr):
  return check_min_heap_helper(arr, 0)",1.0,0.0
"Write a function to find the kth element in the given array using 1-based indexing.

def kth_element(arr, k):","def kth_element(arr, k):
    if k <= 0 or k > len(arr):
        return None
    return arr[k - 1]","The solution passed all test cases.
Correct Solution:def kth_element(arr, k):
  n = len(arr)
  for i in range(n):
    for j in range(0, n-i-1):
      if arr[j] > arr[j+1]:
        arr[j], arr[j+1] == arr[j+1], arr[j]
  return arr[k-1]",1.0,0.0
"Write a python function that takes in an integer n and returns the sum of the squares of the first n odd natural numbers.

def square_Sum(n):  ","def square_Sum(n):
    return sum(((2 * i + 1) ** 2 for i in range(n)))","The solution passed all test cases.
Correct Solution:def square_Sum(n):  
    return int(n*(4*n*n-1)/3) ",1.0,0.0
"Write a python function to find the minimum of two numbers.

def minimum(a,b):   ","def minimum(a, b):
    return a if a < b else b","The solution passed all test cases.
Correct Solution:def minimum(a,b):   
    if a <= b: 
        return a 
    else: 
        return b ",1.0,0.0
"Write a function that takes in a list of tuples and returns a list containing the rear element of each tuple.

def rear_extract(test_list):","def rear_extract(test_list):
    return [tup[-1] for tup in test_list]","The solution passed all test cases.
Correct Solution:def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res) ",1.0,0.0
"Write a function to find nth polite number. geeksforgeeks.org/n-th-polite-number/
import math 
def is_polite(n): ","import math
def is_polite(n):
    m = n + 1
    k = (math.isqrt(8 * m + 1) - 1) // 2
    return n + k","Error: .
 Solution: import math
def is_polite(n):
    m = n + 1
    k = (math.isqrt(8 * m + 1) - 1) // 2
    return n + k.
 Test: def check():
    assert is_polite(7) == 11
    assert is_polite(4) == 7
    assert is_polite(9) == 13

Correct Solution:import math 
def is_polite(n): 
	n = n + 1
	return (int)(n+(math.log((n + math.log(n, 2)), 2))) ",0.0,0.0
"Write a function to create a list of N empty dictionaries.

def empty_list(length):","def empty_list(length):
    return [{} for _ in range(length)]","The solution passed all test cases.
Correct Solution:def empty_list(length):
 empty_list = [{} for _ in range(length)]
 return empty_list",1.0,0.0
"Write a function to find numbers within a given range from startnum ti endnum where every number is divisible by every digit it contains. https://www.w3resource.com/python-exercises/lambda/python-lambda-exercise-24.php

def divisible_by_digits(startnum, endnum):","def divisible_by_digits(startnum, endnum):
    result = []
    for num in range(startnum, endnum + 1):
        digits = [int(d) for d in str(num) if d != '0']
        if all(digits) and all((num % d == 0 for d in digits)):
            result.append(num)
    return result","Error: .
 Solution: def divisible_by_digits(startnum, endnum):
    result = []
    for num in range(startnum, endnum + 1):
        digits = [int(d) for d in str(num) if d != '0']
        if all(digits) and all((num % d == 0 for d in digits)):
            result.append(num)
    return result.
 Test: def check():
    assert divisible_by_digits(1,22)==[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 22]
    assert divisible_by_digits(1,15)==[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15]
    assert divisible_by_digits(20,25)==[22, 24]

Correct Solution:def divisible_by_digits(startnum, endnum):
    return [n for n in range(startnum, endnum+1) \
                if not any(map(lambda x: int(x) == 0 or n%int(x) != 0, str(n)))]",0.0,0.0
"Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.

def count_X(tup, x): ","def count_X(tup, x):
    return tup.count(x)","The solution passed all test cases.
Correct Solution:def count_X(tup, x): 
    count = 0
    for ele in tup: 
        if (ele == x): 
            count = count + 1
    return count ",1.0,0.0
"Write a function to find the maximum product subarray of the given array.

def max_subarray_product(arr):","def max_subarray_product(arr):
    if not arr:
        return 0
    max_product = current_max = current_min = arr[0]
    for num in arr[1:]:
        if num < 0:
            (current_max, current_min) = (current_min, current_max)
        current_max = max(num, current_max * num)
        current_min = min(num, current_min * num)
        max_product = max(max_product, current_max)
    return max_product","The solution passed all test cases.
Correct Solution:def max_subarray_product(arr):
	n = len(arr)
	max_ending_here = 1
	min_ending_here = 1
	max_so_far = 0
	flag = 0
	for i in range(0, n):
		if arr[i] > 0:
			max_ending_here = max_ending_here * arr[i]
			min_ending_here = min (min_ending_here * arr[i], 1)
			flag = 1
		elif arr[i] == 0:
			max_ending_here = 1
			min_ending_here = 1
		else:
			temp = max_ending_here
			max_ending_here = max (min_ending_here * arr[i], 1)
			min_ending_here = temp * arr[i]
		if (max_so_far < max_ending_here):
			max_so_far = max_ending_here
	if flag == 0 and max_so_far == 0:
		return 0
	return max_so_far",1.0,0.0
"Write a python function to find even numbers from a list of numbers.

def Split(list): ","def Split(list):
    return [num for num in list if num % 2 == 0]","The solution passed all test cases.
Correct Solution:def Split(list): 
    return [num for num in list if num % 2 == 0]",1.0,0.0
"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).

def sum_series(n):","def sum_series(n):
    total = 0
    i = 0
    while n - 2 * i > 0:
        total += n - 2 * i
        i += 1
    return total","The solution passed all test cases.
Correct Solution:def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)",1.0,0.0
"Write a function that returns the list in a list of lists whose sum of elements is the highest.

def max_sum_list(lists):","def max_sum_list(lists):
    if not lists:
        return []
    return max(lists, key=lambda x: sum(x))","The solution passed all test cases.
Correct Solution:def max_sum_list(lists):
 return max(lists, key=sum)",1.0,0.0
"Write a function to calculate whether the matrix is a magic square.

def magic_square_test(my_matrix):","def magic_square_test(my_matrix):
    n = len(my_matrix)
    if n == 0:
        return False
    for row in my_matrix:
        if len(row) != n:
            return False
    magic_sum = sum(my_matrix[0])
    for row in my_matrix:
        if sum(row) != magic_sum:
            return False
    for j in range(n):
        col_sum = 0
        for i in range(n):
            col_sum += my_matrix[i][j]
        if col_sum != magic_sum:
            return False
    diag_sum = 0
    for i in range(n):
        diag_sum += my_matrix[i][i]
    if diag_sum != magic_sum:
        return False
    diag_sum = 0
    for i in range(n):
        diag_sum += my_matrix[i][n - 1 - i]
    if diag_sum != magic_sum:
        return False
    return True","The solution passed all test cases.
Correct Solution:def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum (lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(0,iSize):
        result1 +=my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize-1,-1,-1):
        result2 +=my_matrix[i][i]
    sum_list.append(result2)
    if len(set(sum_list))>1:
        return False
    return True",1.0,0.0
"Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.

def round_and_sum(list1):","def round_and_sum(list1):
    rounded_numbers = [round(num) for num in list1]
    total_sum = sum(rounded_numbers)
    result = total_sum * len(list1)
    print(result)","Error: .
 Solution: def round_and_sum(list1):
    rounded_numbers = [round(num) for num in list1]
    total_sum = sum(rounded_numbers)
    result = total_sum * len(list1)
    print(result).
 Test: def check():
    assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243
    assert round_and_sum([5,2,9,24.3,29])==345
    assert round_and_sum([25.0,56.7,89.2])==513

Correct Solution:def round_and_sum(list1):
  lenght=len(list1)
  round_and_sum=sum(list(map(round,list1))* lenght)
  return round_and_sum",0.0,0.0
"Write a function takes as input two lists [a_1,...,a_n], [b_1,...,b_n] and returns [a_1+b_1,...,a_n+b_n].

def sum_list(lst1,lst2):","def sum_list(lst1, lst2):
    return [a + b for (a, b) in zip(lst1, lst2)]","The solution passed all test cases.
Correct Solution:def sum_list(lst1,lst2):
  res_list = [lst1[i] + lst2[i] for i in range(len(lst1))] 
  return res_list",1.0,0.0
"Write a function which takes a tuple of tuples and returns the average value for each tuple as a list.

def average_tuple(nums):","def average_tuple(nums):
    return [sum(t) / len(t) for t in nums]","Error: .
 Solution: def average_tuple(nums):
    return [sum(t) / len(t) for t in nums].
 Test: def check():
    assert average_tuple(((10, 10, 10, 12), (30, 45, 56, 45), (81, 80, 39, 32), (1, 2, 3, 4)))==[30.5, 34.25, 27.0, 23.25]
    assert average_tuple(((1, 1, -5), (30, -15, 56), (81, -60, -39), (-10, 2, 3)))== [25.5, -18.0, 3.75]
    assert average_tuple( ((100, 100, 100, 120), (300, 450, 560, 450), (810, 800, 390, 320), (10, 20, 30, 40)))==[305.0, 342.5, 270.0, 232.5]

Correct Solution:def average_tuple(nums):
    result = [sum(x) / len(x) for x in zip(*nums)]
    return result",0.0,0.0
"Write a function to find maximum run of uppercase characters in the given string.

def max_run_uppercase(test_str):","def max_run_uppercase(test_str):
    max_run = 0
    current_run = 0
    for char in test_str:
        if char.isupper():
            current_run += 1
            if current_run > max_run:
                max_run = current_run
        else:
            current_run = 0
    return max_run","The solution passed all test cases.
Correct Solution:def max_run_uppercase(test_str):
  cnt = 0
  res = 0
  for idx in range(0, len(test_str)):
    if test_str[idx].isupper():
      cnt += 1
    else:
      res = cnt
      cnt = 0
  if test_str[len(test_str) - 1].isupper():
    res = cnt
  return (res)",1.0,0.0
"Write a function to remove odd characters in a string.

def remove_odd(str1):","def remove_odd(str1):
    result = ''
    for i in range(len(str1)):
        if i % 2 == 0:
            result += str1[i]
    return result","Error: .
 Solution: def remove_odd(str1):
    result = ''
    for i in range(len(str1)):
        if i % 2 == 0:
            result += str1[i]
    return result.
 Test: def check():
    assert remove_odd(""python"")==(""yhn"")
    assert remove_odd(""program"")==(""rga"")
    assert remove_odd(""language"")==(""agae"")

Correct Solution:def remove_odd(str1):
 str2 = ''
 for i in range(1, len(str1) + 1):
    if(i % 2 == 0):
        str2 = str2 + str1[i - 1]
 return str2",0.0,0.0
"Write a function that takes in the radius and height of a cylinder and returns the the volume.

def volume_cylinder(r,h):","import math
def volume_cylinder(r, h):
    return math.pi * r ** 2 * h","The solution passed all test cases.
Correct Solution:def volume_cylinder(r,h):
  volume=3.1415*r*r*h
  return volume",1.0,0.0
"Write a function to find the item with maximum frequency in a given list.
from collections import defaultdict
def max_occurrences(nums):","from collections import defaultdict
def max_occurrences(nums):
    if not nums:
        return None
    freq = defaultdict(int)
    for num in nums:
        freq[num] += 1
    max_freq = max(freq.values())
    max_items = [k for (k, v) in freq.items() if v == max_freq]
    return max_items[0] if len(max_items) == 1 else max_items","Error: .
 Solution: from collections import defaultdict
def max_occurrences(nums):
    if not nums:
        return None
    freq = defaultdict(int)
    for num in nums:
        freq[num] += 1
    max_freq = max(freq.values())
    max_items = [k for (k, v) in freq.items() if v == max_freq]
    return max_items[0] if len(max_items) == 1 else max_items.
 Test: def check():
    assert max_occurrences([2,3,8,4,7,9,8,2,6,5,1,6,1,2,3,2,4,6,9,1,2])==2
    assert max_occurrences([2,3,8,4,7,9,8,7,9,15,14,10,12,13,16,18])==8
    assert max_occurrences([10,20,20,30,40,90,80,50,30,20,50,10])==20

Correct Solution:from collections import defaultdict
def max_occurrences(nums):
    dict = defaultdict(int)
    for i in nums:
        dict[i] += 1
    result = max(dict.items(), key=lambda x: x[1]) 
    return result[0]",0.0,0.0
"Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.

def find_length(string): ","def find_length(string):
    max_diff = 0
    n = len(string)
    for i in range(n):
        count0 = 0
        count1 = 0
        for j in range(i, n):
            if string[j] == '0':
                count0 += 1
            else:
                count1 += 1
            current_diff = count0 - count1
            if current_diff > max_diff:
                max_diff = current_diff
    return max_diff","The solution passed all test cases.
Correct Solution:def find_length(string): 
	n = len(string)
	current_sum = 0
	max_sum = 0
	for i in range(n): 
		current_sum += (1 if string[i] == '0' else -1) 
		if current_sum < 0: 
			current_sum = 0
		max_sum = max(current_sum, max_sum) 
	return max_sum if max_sum else 0",1.0,0.0
"Write a python function to find whether a number is divisible by 11.

def is_Diff(n): ","def is_Diff(n):
    return abs(n) % 11 == 0","The solution passed all test cases.
Correct Solution:def is_Diff(n): 
    return (n % 11 == 0) ",1.0,0.0
"Write a python function to count the number of non-empty substrings of a given string.

def number_of_substrings(str): ","def number_of_substrings(s):
    n = len(s)
    return n * (n + 1) // 2","The solution passed all test cases.
Correct Solution:def number_of_substrings(str): 
	str_len = len(str); 
	return int(str_len * (str_len + 1) / 2); ",1.0,0.0
"Write a python function to find the sum of non-repeated elements in a given list.

def find_sum(arr): ","def find_sum(arr):
    unique_elements = []
    seen = set()
    for num in arr:
        if num not in seen:
            seen.add(num)
            unique_elements.append(num)
    return sum(unique_elements)","The solution passed all test cases.
Correct Solution:def find_sum(arr): 
    arr.sort() 
    sum = arr[0] 
    for i in range(len(arr)-1): 
        if (arr[i] != arr[i+1]): 
            sum = sum + arr[i+1]   
    return sum",1.0,0.0
"Write a function to find words that are longer than n characters from a given list of words.

def long_words(n, str):","def long_words(n, words):
    return [word for word in words if len(word) > n]","Error: .
 Solution: def long_words(n, words):
    return [word for word in words if len(word) > n].
 Test: def check():
    assert long_words(3,""python is a programming language"")==['python','programming','language']
    assert long_words(2,""writing a program"")==['writing','program']
    assert long_words(5,""sorting list"")==['sorting']

Correct Solution:def long_words(n, str):
    word_len = []
    txt = str.split("" "")
    for x in txt:
        if len(x) > n:
            word_len.append(x)
    return word_len	",0.0,0.0
"Write a function to remove all whitespaces from the given string.
import re
def remove_whitespaces(text1):","import re
def remove_whitespaces(text1):
    return re.sub('\\s+', '', text1)","The solution passed all test cases.
Correct Solution:import re
def remove_whitespaces(text1):
  return (re.sub(r'\s+', '',text1))",1.0,0.0
"Write a function to find the nth jacobsthal number. https://www.geeksforgeeks.org/jacobsthal-and-jacobsthal-lucas-numbers/ 0, 1, 1, 3, 5, 11, 21, 43, 85, 171, 341, 683, 1365, 2731, ...

def jacobsthal_num(n): ","def jacobsthal_num(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return jacobsthal_num(n - 1) + 2 * jacobsthal_num(n - 2)","The solution passed all test cases.
Correct Solution:def jacobsthal_num(n): 
	dp = [0] * (n + 1) 
	dp[0] = 0
	dp[1] = 1
	for i in range(2, n+1): 
		dp[i] = dp[i - 1] + 2 * dp[i - 2] 
	return dp[n]",1.0,0.0
"Write a python function to check if a given number is one less than twice its reverse.

def check_answer(n):    ","def check_answer(n):
    reversed_num = int(str(n)[::-1])
    return n == 2 * reversed_num - 1","The solution passed all test cases.
Correct Solution:def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check_answer(n):    
    return (2 * rev(n) == n + 1)  ",1.0,0.0
"Write a python function to count the number of pairs whose xor value is odd.

def find_Odd_Pair(A,N) : ","def find_Odd_Pair(A, N):
    count_odd = 0
    count_even = 0
    for num in A:
        if num % 2 == 1:
            count_odd += 1
        else:
            count_even += 1
    return count_odd * count_even","The solution passed all test cases.
Correct Solution:def find_Odd_Pair(A,N) : 
    oddPair = 0
    for i in range(0,N) :  
        for j in range(i+1,N) :  
            if ((A[i] ^ A[j]) % 2 != 0):  
                oddPair+=1  
    return oddPair  ",1.0,0.0
"Write a function to find k number of smallest pairs which consist of one element from the first array and one element from the second array.
import heapq
def k_smallest_pairs(nums1, nums2, k):","import heapq
def k_smallest_pairs(nums1, nums2, k):
    if not nums1 or not nums2:
        return []
    heap = []
    visited = set()
    heapq.heappush(heap, (nums1[0] + nums2[0], 0, 0))
    visited.add((0, 0))
    result = []
    while heap and len(result) < k:
        (_, i, j) = heapq.heappop(heap)
        result.append([nums1[i], nums2[j]])
        if i + 1 < len(nums1) and (i + 1, j) not in visited:
            heapq.heappush(heap, (nums1[i + 1] + nums2[j], i + 1, j))
            visited.add((i + 1, j))
        if j + 1 < len(nums2) and (i, j + 1) not in visited:
            heapq.heappush(heap, (nums1[i] + nums2[j + 1], i, j + 1))
            visited.add((i, j + 1))
    return result","The solution passed all test cases.
Correct Solution:import heapq
def k_smallest_pairs(nums1, nums2, k):
   queue = []
   def push(i, j):
       if i < len(nums1) and j < len(nums2):
           heapq.heappush(queue, [nums1[i] + nums2[j], i, j])
   push(0, 0)
   pairs = []
   while queue and len(pairs) < k:
       _, i, j = heapq.heappop(queue)
       pairs.append([nums1[i], nums2[j]])
       push(i, j + 1)
       if j == 0:
           push(i + 1, 0)
   return pairs",1.0,0.0
"Write a function to find the shared elements from the given two lists.

def similar_elements(test_tup1, test_tup2):","def similar_elements(test_tup1, test_tup2):
    set1 = set(test_tup1)
    set2 = set(test_tup2)
    shared = set1.intersection(set2)
    return tuple(shared)","The solution passed all test cases.
Correct Solution:def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ",1.0,0.0
"Write a python function to count the number of substrings with the sum of digits equal to their length.
from collections import defaultdict
def count_Substrings(s):","from collections import defaultdict
def count_Substrings(s):
    count = 0
    n = len(s)
    for i in range(n):
        current_sum = 0
        for j in range(i, n):
            current_sum += int(s[j])
            length = j - i + 1
            if current_sum == length:
                count += 1
    return count","The solution passed all test cases.
Correct Solution:from collections import defaultdict
def count_Substrings(s):
    n = len(s)
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count",1.0,0.0
"Write a function to find the second smallest number in a list.

def second_smallest(numbers):","def second_smallest(numbers):
    if len(numbers) < 2:
        return None
    unique_numbers = list(set(numbers))
    unique_numbers.sort()
    if len(unique_numbers) < 2:
        return None
    return unique_numbers[1]","The solution passed all test cases.
Correct Solution:def second_smallest(numbers):
  unique_numbers = list(set(numbers))
  unique_numbers.sort()
  if len(unique_numbers) < 2:
    return None
  else:
    return unique_numbers[1]",1.0,0.0
